step,token_id,token_text,wall_us,n_kv_cells,rss_kb,log_prob,nll,evicted_this_step
255,2031,"70",138680629,9992,535464,-0.000104,0.000104,0
256,1034," %",138711289,9993,535464,-0.011455,0.011455,0
257,439," as",138739114,9994,535464,-0.000021,0.000021,0
258,1690," many",138770832,9995,535464,-0.000029,0.000029,0
259,6864," capital",138800421,9996,535464,-0.000013,0.000013,0
260,18198," ships",138830383,9997,535464,-0.000246,0.000246,0
261,439," as",138860977,9998,535464,-0.000007,0.000007,0
262,279," the",138894006,9999,535464,-0.000008,0.000008,0
263,2326," US",138926614,10000,535464,-0.000052,0.000052,0
264,19574," Navy",138953849,10001,535464,-0.000206,0.000206,0
265,662," .",138980520,10002,535464,-0.043562,0.043562,0
266,578," The",139008254,10003,535464,-0.003732,0.003732,0
267,358," I",139034602,10004,535464,-0.029787,0.029787,0
268,41,"J",139060638,10005,535464,-0.000466,0.000466,0
269,45,"N",139087204,10006,535464,-0.000851,0.000851,0
270,364," '",139113593,10007,535464,-0.002311,0.002311,0
271,82,"s",139139612,10008,535464,-0.000013,0.000013,0
272,26155," fleet",139165640,10009,535464,-0.000277,0.000277,0
273,574," was",139192625,10010,535464,-0.000839,0.000839,0
274,6319," designed",139219666,10011,535464,-0.000576,0.000576,0
275,311," to",139246792,10012,535464,-0.000121,0.000121,0
276,387," be",139278033,10013,535464,-0.000034,0.000034,0
277,13171," capable",139304770,10014,535464,-0.001090,0.001090,0
278,315," of",139331255,10015,535464,-0.000065,0.000065,0
279,11039," fighting",139358322,10016,535464,-0.000044,0.000044,0
280,264," a",139384720,10017,535464,-0.000285,0.000285,0
281,1403," two",139411774,10018,535464,-0.000059,0.000059,0
282,12,"-",139438014,10019,535464,-0.000047,0.000047,0
283,5383,"ship",139464191,10020,535464,-0.007830,0.007830,0
284,8209," battle",139490707,10021,535464,-0.000253,0.000253,0
285,304," in",139517575,10022,535464,-0.000021,0.000021,0
286,11002," Japanese",139545150,10023,535464,-0.000067,0.000067,0
287,21160," waters",139572735,10024,535464,-0.000109,0.000109,0
288,323," and",139600423,10025,535464,-0.000082,0.000082,0
289,1053," would",139628546,10026,535464,-0.000594,0.000594,0
290,617," have",139661901,10027,535464,-0.000148,0.000148,0
291,1027," been",139693739,10028,535464,-0.000020,0.000020,0
292,279," the",139724222,10029,535464,-0.000012,0.000012,0
293,7928," largest",139754840,10030,535464,-0.000031,0.000031,0
294,26155," fleet",139781530,10031,535464,-0.000117,0.000117,0
295,3596," ever",139810247,10032,535464,-0.000067,0.000067,0
296,5918," built",139837738,10033,535464,-0.000366,0.000366,0
297,520," at",139867058,10034,535464,-0.000020,0.000020,0
298,430," that",139894021,10035,535464,-0.000054,0.000054,0
299,892," time",139920353,10036,535464,-0.000014,0.000014,0
300,662," .",139946602,10037,535464,-0.072500,0.072500,0
301,578," The",139972760,10038,535464,-0.009158,0.009158,0
302,2955," design",139999644,10039,535464,-0.002292,0.002292,0
303,315," of",140025692,10040,535464,-0.000325,0.000325,0
304,279," the",140051898,10041,535464,-0.000021,0.000021,0
305,25572," battles",140078045,10042,535464,-0.001168,0.001168,0
306,34322,"hips",140104642,10043,535464,-0.003933,0.003933,0
307,574," was",140131549,10044,535464,-0.000481,0.000481,0
308,28160," influenced",140158846,10045,535464,-0.000255,0.000255,0
309,555," by",140185508,10046,535464,-0.000042,0.000042,0
310,279," the",140216930,10047,535464,-0.000023,0.000023,0
311,11002," Japanese",140255264,10048,535556,-0.000132,0.000132,0
312,19574," Navy",140285130,10049,535464,-0.000170,0.000170,0
313,596,"'s",140311976,10050,535464,-0.000362,0.000362,0
314,12876," desire",140340804,10051,535464,-0.000106,0.000106,0
315,311," to",140368674,10052,535464,-0.000037,0.000037,0
316,10519," maintain",140396761,10053,535464,-0.000205,0.000205,0
317,264," a",140423804,10054,535464,-0.000071,0.000071,0
318,26155," fleet",140450900,10055,535464,-0.000033,0.000033,0
319,449," with",140477688,10056,535464,-0.000074,0.000074,0
320,520," at",140504536,10057,535464,-0.000387,0.000387,0
321,3325," least",140531522,10058,535464,-0.000028,0.000028,0
322,220," ",140558132,10059,535464,-0.000006,0.000006,0
323,2031,"70",140587792,10060,535464,-0.000141,0.000141,0
324,1034," %",140615438,10061,535464,-0.008835,0.008835,0
325,439," as",140643414,10062,535464,-0.000024,0.000024,0
326,1690," many",140673380,10063,535464,-0.000039,0.000039,0
327,6864," capital",140705962,10064,535464,-0.000014,0.000014,0
328,18198," ships",140734001,10065,535464,-0.000265,0.000265,0
329,439," as",140765986,10066,535464,-0.000008,0.000008,0
330,279," the",140794287,10067,535464,-0.000010,0.000010,0
331,2326," US",140824688,10068,535464,-0.000056,0.000056,0
332,19574," Navy",140853186,10069,535464,-0.000224,0.000224,0
333,662," .",140879373,10070,535464,-0.053532,0.053532,0
334,578," The",140905854,10071,535464,-0.003584,0.003584,0
335,358," I",140931962,10072,535464,-0.019079,0.019079,0
336,41,"J",140958291,10073,535464,-0.000371,0.000371,0
337,45,"N",140985273,10074,535464,-0.000872,0.000872,0
338,364," '",141011466,10075,535464,-0.002889,0.002889,0
339,82,"s",141037473,10076,535464,-0.000013,0.000013,0
340,26155," fleet",141064071,10077,535464,-0.000207,0.000207,0
341,574," was",141091673,10078,535464,-0.000584,0.000584,0
342,6319," designed",141118343,10079,535464,-0.000435,0.000435,0
343,311," to",141149141,10080,535464,-0.000094,0.000094,0
344,387," be",141176359,10081,535464,-0.000026,0.000026,0
345,13171," capable",141203120,10082,535464,-0.000944,0.000944,0
346,315," of",141229866,10083,535464,-0.000076,0.000076,0
347,11039," fighting",141259980,10084,535464,-0.000042,0.000042,0
348,264," a",141291766,10085,535464,-0.000277,0.000277,0
349,1403," two",141320202,10086,535464,-0.000055,0.000055,0
350,12,"-",141353740,10087,535464,-0.000035,0.000035,0
351,5383,"ship",141389208,10088,535464,-0.005832,0.005832,0
352,8209," battle",141421258,10089,535464,-0.000240,0.000240,0
353,304," in",141454202,10090,535464,-0.000024,0.000024,0
354,11002," Japanese",141485146,10091,535464,-0.000069,0.000069,0
355,21160," waters",141518008,10092,535464,-0.000111,0.000111,0
356,323," and",141549707,10093,535464,-0.000071,0.000071,0
357,1053," would",141577396,10094,535464,-0.000493,0.000493,0
358,617," have",141604281,10095,535464,-0.000162,0.000162,0
359,1027," been",141632719,10096,535464,-0.000021,0.000021,0
360,279," the",141660156,10097,535464,-0.000015,0.000015,0
361,7928," largest",141687441,10098,535464,-0.000036,0.000036,0
362,26155," fleet",141714527,10099,535464,-0.000119,0.000119,0
363,3596," ever",141742496,10100,535464,-0.000085,0.000085,0
364,5918," built",141769614,10101,535464,-0.000420,0.000420,0
365,520," at",141805888,10102,535464,-0.000023,0.000023,0
366,430," that",141832343,10103,535464,-0.000057,0.000057,0
367,892," time",141861371,10104,535464,-0.000017,0.000017,0
368,662," .",141887938,10105,535464,-0.090112,0.090112,0
369,578," The",141914530,10106,535464,-0.011516,0.011516,0
370,2955," design",141942947,10107,535464,-0.001662,0.001662,0
371,315," of",141971663,10108,535464,-0.000264,0.000264,0
372,279," the",141998762,10109,535440,-0.000024,0.000024,0
373,25572," battles",142026084,10110,535440,-0.000906,0.000906,0
374,34322,"hips",142053299,10111,535464,-0.003346,0.003346,0
375,574," was",142088092,10112,535464,-0.000497,0.000497,0
376,28160," influenced",142115020,10113,535464,-0.000181,0.000181,0
377,555," by",142146040,10114,535464,-0.000052,0.000052,0
378,279," the",142176486,10115,535464,-0.000024,0.000024,0
379,11002," Japanese",142203294,10116,535464,-0.000130,0.000130,0
380,19574," Navy",142230037,10117,535464,-0.000181,0.000181,0
381,596,"'s",142256966,10118,535464,-0.000293,0.000293,0
382,12876," desire",142285743,10119,535464,-0.000151,0.000151,0
383,311," to",142313208,10120,535464,-0.000046,0.000046,0
384,10519," maintain",142339926,10121,535464,-0.000227,0.000227,0
385,264," a",142373771,10122,535464,-0.000058,0.000058,0
386,26155," fleet",142401525,10123,535464,-0.000029,0.000029,0
387,449," with",142428339,10124,535464,-0.000077,0.000077,0
388,520," at",142462045,10125,535436,-0.000259,0.000259,0
389,3325," least",142489413,10126,535436,-0.000028,0.000028,0
390,220," ",142516788,10127,535436,-0.000007,0.000007,0
391,2031,"70",142543387,10128,535464,-0.000135,0.000135,0
392,1034," %",142570598,10129,535464,-0.006203,0.006203,0
393,439," as",142597929,10130,535464,-0.000026,0.000026,0
394,1690," many",142625502,10131,535464,-0.000047,0.000047,0
395,6864," capital",142652032,10132,535464,-0.000018,0.000018,0
396,18198," ships",142677879,10133,535464,-0.000297,0.000297,0
397,439," as",142704067,10134,535464,-0.000012,0.000012,0
398,279," the",142730314,10135,535464,-0.000011,0.000011,0
399,2326," US",142756280,10136,535464,-0.000070,0.000070,0
400,19574," Navy",142782405,10137,535432,-0.000308,0.000308,0
401,662," .",142809113,10138,535464,-0.066291,0.066291,0
402,578," The",142839452,10139,535464,-0.005449,0.005449,0
403,358," I",142866009,10140,535464,-0.008701,0.008701,0
404,41,"J",142893352,10141,535464,-0.000423,0.000423,0
405,45,"N",142927307,10142,535464,-0.000890,0.000890,0
406,364," '",142957553,10143,535464,-0.001836,0.001836,0
407,82,"s",142986130,10144,535464,-0.000013,0.000013,0
408,26155," fleet",143015000,10145,535464,-0.000231,0.000231,0
409,574," was",143046119,10146,535464,-0.000564,0.000564,0
410,6319," designed",143078914,10147,535464,-0.000386,0.000386,0
411,311," to",143106192,10148,535464,-0.000097,0.000097,0
412,387," be",143133857,10149,535464,-0.000031,0.000031,0
413,13171," capable",143161025,10150,535464,-0.001002,0.001002,0
414,315," of",143187853,10151,535464,-0.000092,0.000092,0
415,11039," fighting",143215026,10152,535464,-0.000044,0.000044,0
416,264," a",143241044,10153,535464,-0.000302,0.000302,0
417,1403," two",143267596,10154,535464,-0.000062,0.000062,0
418,12,"-",143293842,10155,535464,-0.000029,0.000029,0
419,5383,"ship",143320738,10156,535464,-0.005363,0.005363,0
420,8209," battle",143348761,10157,535464,-0.000219,0.000219,0
421,304," in",143375671,10158,535464,-0.000025,0.000025,0
422,11002," Japanese",143405642,10159,535464,-0.000080,0.000080,0
423,21160," waters",143431799,10160,535464,-0.000119,0.000119,0
424,323," and",143462302,10161,535464,-0.000071,0.000071,0
425,1053," would",143495572,10162,535464,-0.000478,0.000478,0
426,617," have",143522182,10163,535464,-0.000163,0.000163,0
427,1027," been",143549308,10164,535464,-0.000023,0.000023,0
428,279," the",143576537,10165,535464,-0.000017,0.000017,0
429,7928," largest",143603073,10166,535464,-0.000041,0.000041,0
430,26155," fleet",143629500,10167,535464,-0.000125,0.000125,0
431,3596," ever",143655633,10168,535464,-0.000095,0.000095,0
432,5918," built",143681754,10169,535464,-0.000452,0.000452,0
433,520," at",143708013,10170,535464,-0.000025,0.000025,0
434,430," that",143734589,10171,535464,-0.000064,0.000064,0
435,892," time",143761829,10172,535464,-0.000019,0.000019,0
436,662," .",143797287,10173,535464,-0.108869,0.108869,0
437,578," The",143828674,10174,535464,-0.020476,0.020476,0
438,2955," design",143856477,10175,535464,-0.002062,0.002062,0
439,315," of",143884144,10176,535464,-0.000278,0.000278,0
440,279," the",143911020,10177,535464,-0.000043,0.000043,0
441,25572," battles",143941768,10178,535464,-0.000996,0.000996,0
442,34322,"hips",143969586,10179,535464,-0.003270,0.003270,0
443,574," was",143996692,10180,535464,-0.000496,0.000496,0
444,28160," influenced",144025495,10181,535464,-0.000182,0.000182,0
445,555," by",144053188,10182,535464,-0.000063,0.000063,0
446,279," the",144081040,10183,535464,-0.000025,0.000025,0
447,11002," Japanese",144107224,10184,535464,-0.000142,0.000142,0
448,19574," Navy",144136271,10185,535464,-0.000171,0.000171,0
449,596,"'s",144162487,10186,535464,-0.000333,0.000333,0
450,12876," desire",144188532,10187,535464,-0.000182,0.000182,0
451,311," to",144215064,10188,535464,-0.000055,0.000055,0
452,10519," maintain",144241574,10189,535464,-0.000239,0.000239,0
453,264," a",144269529,10190,535360,-0.000061,0.000061,0
454,26155," fleet",144296904,10191,535464,-0.000030,0.000030,0
455,449," with",144323837,10192,535464,-0.000091,0.000091,0
456,520," at",144352900,10193,535464,-0.000230,0.000230,0
457,3325," least",144379939,10194,535464,-0.000033,0.000033,0
458,220," ",144409561,10195,535464,-0.000004,0.000004,0
459,2031,"70",144436583,10196,535464,-0.000138,0.000138,0
460,1034," %",144463651,10197,535464,-0.005551,0.005551,0
